datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-27 03:45:00,11.2026,11.0741749943333,12.9964,80.9945
2016-09-27 03:59:59,10.43,10.6305236593333,12.8491,80.9364
2016-09-27 04:15:00,10.3866,10.644326225,12.6722,81.0944
2016-09-27 04:30:00,10.9564,10.8158168523333,12.6,81.1293
2016-09-27 04:44:59,10.6859,10.268892844,12.4759,81.2724
2016-09-27 05:00:00,9.03101,9.40083054266667,12.3636,81.3909
2016-09-27 05:15:00,6.55484,8.45618769366664,12.2291,81.4964
2016-09-27 05:29:59,7.88876,8.71896094366664,12.1167,81.7944
2016-09-27 05:45:00,7.9565,7.55904142486667,12.0241,81.9103
2016-09-27 06:00:00,7.55296,8.280144586,11.919,82.081
2016-09-27 06:14:59,6.28939,5.13224283721666,11.9,82.24
2016-09-27 06:30:00,7.22115,8.02154829866666,11.8545,82.2236
2016-09-27 06:45:00,8.47152,8.09000325713335,11.8407,82.4944
2016-09-27 06:59:59,9.73903,10.0961051913333,11.9345,82.3534
2016-09-27 07:15:00,11.5706,12.115407413,12.2603,81.7517
2016-09-27 07:30:00,11.2918,12.5068135956667,12.7491,80.9255
2016-09-27 07:44:59,12.458,12.593250942,13.2964,79.7764
2016-09-27 08:00:00,12.7584,12.8802949433333,14.0818,78.1473
2016-09-27 08:15:00,14.0072,13.5864028846667,14.9448,75.8776
2016-09-27 08:29:59,14.7012,14.570385453,15.6828,73.481
2016-09-27 08:45:00,15.9909,15.7018407913333,16.2545,70.9345
2016-09-27 09:00:00,16.2011,15.6114256836667,16.6891,69.0364
2016-09-27 09:14:59,16.3547,15.792182188,17.05,67.4444
2016-09-27 09:30:00,17.9284,17.3540678696667,17.6153,65.539
2016-09-27 09:45:00,19.6617,19.6715546146667,18.4053,63.2333
2016-09-27 09:59:59,21.2951,21.1484751746667,18.8574,60.6685
2016-09-27 10:15:00,23.1104,23.2041026199999,19.06,58.1236
2016-09-27 10:30:00,25.7736,25.0616855666667,19.4291,55.4655
2016-09-27 10:44:59,27.0323,27.4585566433334,19.7763,53.5475
2016-09-27 11:00:00,28.6694,27.9720470100001,20.1912,51.6
2016-09-27 11:15:00,30.319,29.1759855966666,20.687,49.5963
2016-09-27 11:29:59,33.4584,32.3501217233333,21.0618,46.0273
2016-09-27 11:45:00,31.4822,32.2151196366667,21.3167,45.3
2016-09-27 12:00:00,32.5185,32.7416709633334,21.6517,43.5583
2016-09-27 12:14:59,34.8817,34.5132478866667,21.9286,40.5393
2016-09-27 12:30:00,35.2965,35.2960994100001,22.0722,40.9093
2016-09-27 12:45:00,35.8985,35.2872785633333,22.3182,40.1091
2016-09-27 12:59:59,37.1043,37.3969866166667,22.4727,38.9745
2016-09-27 13:15:00,37.6772,38.2108248766667,22.5633,38.8617
2016-09-27 13:30:00,38.2512,38.3249976166667,22.6,38.2782
2016-09-27 13:44:59,38.6891,38.45310023,22.5564,37.7055
2016-09-27 14:00:00,39.088,38.90648501,22.3709,37.1145
2016-09-27 14:15:00,40.0369,39.5787307366666,22.1655,36.0145
2016-09-27 17:00:00,40.5546,40.0197385933333,21.3667,38.0017
2016-09-27 17:15:00,40.9867,41.4310739733333,21.1222,38.8352
2016-09-27 17:29:59,40.9113,40.9382985533333,20.8327,39.3109
2016-09-27 17:45:00,39.6322,39.1819698066667,20.5036,39.7636
2016-09-27 18:00:00,37.9162,38.6843696233333,20.0737,40.6404
2016-09-27 18:14:59,36.18,36.9610226400001,19.5407,41.6034
2016-09-27 18:30:00,32.5454,34.5920273993335,18.9927,42.7636
2016-09-27 18:45:00,29.1238,29.9471945826667,18.4345,44.4182
2016-09-27 18:59:59,28.1283,30.5134297626667,17.8889,45.7759
2016-09-27 19:15:00,27.5035,28.5022594466667,17.4483,46.9776
2016-09-27 19:30:00,27.7473,27.05554249,17.0224,48.1535
2016-09-27 19:44:59,19.8311,22.9788942437333,16.6545,49.4291
2016-09-27 20:00:00,23.015,22.272928281,16.3327,49.96
2016-09-27 20:15:00,23.5757,21.1537896916,16.1315,50.4296
2016-09-27 20:29:59,20.8694,22.1219072663333,15.819,51.5207
2016-09-27 20:45:00,12.6397,13.051356653,13.8053,52.6404
2016-09-27 21:00:00,12.9288,12.8477119821833,15.2782,53.82
2016-09-27 21:14:59,6.64601,9.39404475333333,15.0907,54.7278
2016-09-27 21:30:00,7.50478,8.97020339290001,14.9236,55.5309
2016-09-27 21:45:00,5.93156,7.39486976426666,14.7153,56.7678
2016-09-27 21:59:59,5.98591,7.01621405781333,14.5947,57.1298
2016-09-27 22:15:00,4.27384,6.26646451589999,14.4782,58.2327
2016-09-27 22:30:00,6.67926,7.37113964826666,14.3618,58.9182
